team_abbrev,season,def_te_ftps,def_te_targets,def_te_yards_per_target
CIN,2025,15.6,10.0,9.114285714285714
PIT,2025,11.0,8.714285714285714,7.827868852459017
WAS,2025,10.9,6.928571428571429,9.329896907216495
MIA,2025,10.8,8.714285714285714,7.942622950819672
TB,2025,9.7,7.714285714285714,7.537037037037037
ARI,2025,9.3,8.071428571428571,7.902654867256637
NE,2025,9.1,8.428571428571429,7.364406779661017
SF,2025,9.1,8.071428571428571,6.778761061946903
JAX,2025,9.1,8.785714285714286,6.983739837398374
SEA,2025,8.9,8.642857142857142,7.867768595041323
IND,2025,8.8,8.571428571428571,7.733333333333333
DEN,2025,8.5,8.571428571428571,7.483333333333333
CAR,2025,8.5,7.071428571428571,8.757575757575758
DET,2025,8.5,7.357142857142857,7.359223300970874
TEN,2025,8.5,7.285714285714286,7.480392156862745
CLE,2025,8.0,6.928571428571429,7.422680412371134
NYJ,2025,7.8,6.928571428571429,6.721649484536083
CHI,2025,7.7,7.857142857142857,7.054545454545455
MIN,2025,7.5,7.357142857142857,6.912621359223301
DAL,2025,7.4,7.5,7.4
NO,2025,7.1,6.857142857142857,7.270833333333333
LA,2025,7.1,7.5,5.733333333333333
LAC,2025,7.1,5.928571428571429,7.63855421686747
HOU,2025,7.0,6.785714285714286,6.663157894736842
GB,2025,6.9,7.5,5.752380952380952
NYG,2025,6.8,6.714285714285714,6.914893617021277
LV,2025,6.2,5.357142857142857,7.48
KC,2025,6.0,5.642857142857143,8.405063291139241
BAL,2025,6.0,6.571428571428571,7.184782608695652
ATL,2025,4.7,4.928571428571429,7.217391304347826
PHI,2025,4.6,6.642857142857143,4.903225806451613
BUF,2025,4.3,4.428571428571429,7.403225806451613
CIN,2024,10.1,8.529411764705882,7.682758620689655
CAR,2024,10.0,6.470588235294118,8.363636363636363
LV,2024,9.5,8.058823529411764,8.007299270072993
LA,2024,9.4,8.352941176470589,7.753521126760563
IND,2024,9.1,7.352941176470588,7.896
CLE,2024,8.8,7.176470588235294,6.827868852459017
KC,2024,8.7,8.0,8.757352941176471
JAX,2024,8.4,7.176470588235294,7.647540983606557
TB,2024,8.3,7.882352941176471,8.537313432835822
PIT,2024,8.1,8.588235294117647,6.568493150684931
ATL,2024,7.9,6.411764705882353,7.5963302752293576
BAL,2024,7.4,7.470588235294118,7.582677165354331
CHI,2024,7.4,6.9411764705882355,8.567796610169491
MIA,2024,7.3,8.294117647058824,6.73758865248227
GB,2024,7.1,7.0588235294117645,8.083333333333334
HOU,2024,7.0,6.647058823529412,6.274336283185841
WAS,2024,6.9,5.529411764705882,7.212765957446808
BUF,2024,6.7,7.588235294117647,6.333333333333333
NE,2024,6.7,7.0588235294117645,7.116666666666666
SEA,2024,6.6,7.176470588235294,7.180327868852459
DAL,2024,6.5,5.0,8.341176470588236
NO,2024,6.5,6.647058823529412,8.513274336283185
DEN,2024,6.3,8.117647058823529,5.7898550724637685
MIN,2024,6.2,7.0,7.394957983193278
NYJ,2024,6.0,6.823529411764706,6.362068965517241
SF,2024,5.8,6.176470588235294,6.552380952380952
NYG,2024,5.4,4.9411764705882355,8.035714285714286
LAC,2024,5.4,7.411764705882353,6.150793650793651
TEN,2024,5.2,5.764705882352941,6.489795918367347
PHI,2024,5.1,6.0588235294117645,5.737864077669903
ARI,2024,5.1,6.470588235294118,6.536363636363636
DET,2024,4.9,6.176470588235294,6.333333333333333
DEN,2023,9.9,7.764705882352941,8.265151515151516
LA,2023,8.6,6.9411764705882355,8.364406779661017
TB,2023,8.6,9.0,7.03921568627451
CIN,2023,8.4,7.9411764705882355,8.0
JAX,2023,8.0,6.882352941176471,7.880341880341881
ATL,2023,7.9,8.176470588235293,7.496402877697841
MIA,2023,7.8,7.352941176470588,7.232
NO,2023,7.7,6.823529411764706,7.181034482758621
HOU,2023,7.7,8.529411764705882,7.062068965517241
GB,2023,7.6,6.235294117647059,8.10377358490566
DET,2023,7.6,7.176470588235294,7.704918032786885
IND,2023,7.6,7.705882352941177,6.908396946564886
NYJ,2023,7.6,7.117647058823529,6.818181818181818
PIT,2023,7.3,7.117647058823529,7.140495867768595
SEA,2023,7.3,7.0,7.907563025210084
ARI,2023,7.3,5.705882352941177,7.793814432989691
PHI,2023,7.2,6.9411764705882355,7.4576271186440675
CHI,2023,7.0,7.823529411764706,6.090225563909774
LAC,2023,6.7,6.823529411764706,7.603448275862069
MIN,2023,6.3,6.647058823529412,6.823008849557522
DAL,2023,6.3,5.588235294117647,7.473684210526316
WAS,2023,6.1,6.235294117647059,7.009433962264151
CAR,2023,6.1,5.411764705882353,7.836956521739131
NYG,2023,6.0,6.470588235294118,7.2
LV,2023,5.9,7.0,7.050420168067227
BAL,2023,5.8,6.647058823529412,7.115044247787611
SF,2023,5.8,7.352941176470588,6.616
KC,2023,5.8,6.9411764705882355,6.432203389830509
BUF,2023,5.5,6.705882352941177,6.640350877192983
TEN,2023,5.5,5.823529411764706,7.515151515151516
CLE,2023,5.4,5.0588235294117645,6.5
NE,2023,5.1,6.235294117647059,6.556603773584905
