team,position,full_name,height,weight,gsis_id,years_exp,week,draft_number,avg_time_to_throw,avg_intended_air_yards,aggressiveness,avg_air_yards_to_sticks,completion_percentage_above_expectation,max_air_distance,efficiency,percent_attempts_gte_eight_defenders,rush_yards,rush_yards_over_expected_per_att,avg_cushion,avg_separation,percent_share_of_intended_air_yards,catch_percentage,avg_yac_above_expectation,pass_attempt,rec_attempt,rush_attempt,pass_air_yards,rec_air_yards,pass_completions,receptions,pass_yards_gained,rec_yards_gained,rush_yards_gained,pass_touchdown,rec_touchdown,rush_touchdown,pass_interception,rec_fumble_lost,rush_fumble_lost,pass_yards_gained_diff,rec_yards_gained_diff,rush_yards_gained_diff,pass_touchdown_diff,rec_touchdown_diff,rush_touchdown_diff,pass_attempt_team,rec_attempt_team,rush_attempt_team,opponent,offense_snaps,offense_pct,team_home,team_away,total,spread_line,roof,surface,temp,wind,touches,snap_share,target_share,rush_share,weighted_opp_share,total_touchdowns,fantasy_points,delta_touches,touches_3wk_avg,touches_7wk_avg,touches_trend_3v7,snap_share_3wk_avg,snap_share_7wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_7wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_7wk_avg,tds_trend_3v7,rush_ypc,rush_yoe_per_game,rush_yoe_per_att,stacked_box_rate,catch_rate,rec_yards_per_target,team_implied_points,is_favored,abs_spread,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed,years_exp_filled,is_rookie,draft_number_filled,is_undrafted
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,5,130.0,,,,,,,,0.0,,0.0,,,,,0.0,0.0,4.0,1.0,0.0,22.0,0.0,3.0,0.0,21.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.86,-1.43,0.0,-0.03,-0.6,49.0,49.0,33.0,,,0.0,LA,SF,49.0,8.5,dome,matrixturf,,,5.0,0.0,0.08163265306122448,0.030303030303030304,13.0,0.0,5.0,2.0,3.0,2.4,0.6000000000000001,0.0,0.0,0.0,6.1000000000000005,5.0,1.1000000000000005,0.3333333333333333,0.2,0.1333333333333333,-1.0,0.0,0.0,0.0,0.75,5.25,28.75,1,8.5,4.24,20.38,5.77,0.540.23,15.46,12,0,130.0,0
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,10,130.0,,,,,,,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,-2.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2599999999999998,0.0,0.0,-0.56,0.0,39.0,39.0,21.0,,,0.0,SF,LA,68.0,-5.5,outdoors,grass,77.0,3.0,2.0,0.0,0.05128205128205128,0.0,6.0,0.0,2.8,0.0,2.0,2.4285714285714284,-0.4285714285714284,0.0,0.0,0.0,2.1333333333333333,3.0428571428571423,-0.909523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,36.75,1,5.5,3.77,20.92,4.69,0.150.15,11.54,12,0,130.0,0
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,3,130.0,,,,,,,,0.0,,0.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,0.0,0.0,0.54,0.0,41.0,41.0,20.0,,,0.0,SF,ARI,31.0,1.5,outdoors,grass,72.0,7.0,1.0,0.0,0.024390243902439025,0.0,3.0,1.0,7.1,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,4.6000000000000005,4.6000000000000005,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.75,0,1.5,4.79,22.54,4.08,1.080.31,20.00,12,0,130.0,0
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,7,130.0,,,,,,,,0.0,,0.0,,,,,0.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,-5.029999999999999,0.0,-0.02,0.0,26.0,26.0,39.0,,,0.0,SF,ATL,30.0,1.5,outdoors,grass,74.0,5.0,2.0,0.0,0.038461538461538464,0.02564102564102564,4.0,0.0,1.8,1.0,2.6666666666666665,2.142857142857143,0.5238095238095237,0.0,0.0,0.0,2.9,4.1,-1.1999999999999997,0.0,0.14285714285714285,-0.14285714285714285,-2.0,0.0,0.0,0.0,1.0,10.0,14.25,0,1.5,4.44,22.38,4.54,0.620.31,17.38,12,0,130.0,0
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,9,130.0,,,,,,,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,0.0,0.0,-0.01,0.0,24.0,24.0,39.0,,,0.0,NYG,SF,58.0,-2.5,outdoors,fieldturf,56.0,5.0,2.0,0.0,0.08333333333333333,0.0,6.0,0.0,2.2,0.0,2.0,2.2857142857142856,-0.2857142857142856,0.0,0.0,0.0,1.8,3.6571428571428575,-1.8571428571428574,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.0,0.0,0.0,0.5,6.0,27.75,0,2.5,4.24,20.38,5.77,0.540.23,15.46,12,0,130.0,0
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,8,130.0,,,,,,,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,32.0,32.0,10.0,,,0.0,HOU,SF,41.0,2.5,closed,astroturf,,,2.0,0.0,0.0625,0.0,6.0,0.0,1.4,0.0,1.6666666666666667,2.142857142857143,-0.47619047619047605,0.0,0.0,0.0,1.7,3.5571428571428574,-1.8571428571428574,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.0,0.0,0.0,0.5,2.0,21.75,1,2.5,4.24,20.38,5.77,0.540.23,15.46,12,0,130.0,0
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,6,130.0,,,,,,,,0.0,,0.0,,,,,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5499999999999998,0.0,0.0,-0.04,0.0,39.0,39.0,22.0,,,0.0,TB,SF,49.0,3.5,outdoors,grass,82.0,10.0,1.0,0.0,0.02564102564102564,0.0,3.0,0.0,1.9,-4.0,3.0,2.1666666666666665,0.8333333333333335,0.0,0.0,0.0,4.366666666666666,4.483333333333333,-0.11666666666666714,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0,0.0,1.0,9.0,26.25,1,3.5,4.24,20.38,5.77,0.540.23,15.46,12,0,130.0,0
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,4,130.0,,,,,,,,0.0,,0.0,,,,,0.0,0.0,3.0,0.0,0.0,12.0,0.0,3.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.100000000000001,0.0,0.0,-0.02,0.0,38.0,38.0,24.0,,,0.0,SF,JAX,47.0,3.5,outdoors,grass,72.0,7.0,3.0,0.0,0.07894736842105263,0.0,9.0,0.0,6.2,2.0,1.6666666666666667,1.75,-0.08333333333333326,0.0,0.0,0.0,4.933333333333334,5.0,-0.06666666666666643,0.3333333333333333,0.25,0.08333333333333331,0.0,0.0,0.0,0.0,1.0,10.666666666666666,21.75,0,3.5,3.74,17.31,4.62,0.380.23,12.38,12,0,130.0,0
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,15,130.0,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,0.0,SF,TEN,,12.5,outdoors,grass,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.6666666666666666,1.4285714285714286,-0.761904761904762,0.0,0.0,0.0,1.5666666666666667,2.242857142857143,-0.6761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,12.5,4.49,21.77,3.46,1.080.15,18.08,12,0,130.0,0
SF,RB,Kyle Juszczyk,74.0,235.0,00-0029892,12,13,130.0,,,,,,,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,23.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56,0.0,0.0,-0.01,0.0,30.0,30.0,33.0,,,0.0,CLE,SF,34.0,-5.5,outdoors,grass,35.0,20.0,2.0,0.0,0.06666666666666667,0.0,6.0,0.0,4.7,2.0,1.3333333333333333,1.7142857142857142,-0.38095238095238093,0.0,0.0,0.0,3.1,2.5,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.5,14.25,0,5.5,4.24,20.38,5.77,0.540.23,15.46,12,0,130.0,0
