Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,10,283,182,1880,17,8.4,1125,977,139,40.5%,26,7.6%,22,7.8%,34,82,23.9%,61
Buffalo Bills,10,272,168,1697,10,8.2,1049,808,62,19.5%,29,9.1%,28,10.3%,26,83,26.1%,56
Carolina Panthers,11,339,219,2341,13,8.1,1286,1098,71,19.1%,21,5.6%,21,6.2%,16,58,15.6%,57
Chicago Bears,10,309,209,2313,21,8.3,1402,988,89,25.7%,19,5.5%,22,7.1%,21,62,17.9%,57
Cincinnati Bengals,10,338,227,2573,25,6.8,1004,1647,60,16.0%,26,6.9%,25,7.4%,14,65,17.3%,126
Cleveland Browns,10,260,169,1670,16,7.7,923,897,88,28.6%,17,5.5%,23,8.8%,32,72,23.4%,53
Indianapolis Colts,10,376,241,2353,16,7.3,1392,1128,95,22.7%,41,9.8%,36,9.6%,29,106,25.3%,70
Arizona Cardinals,10,343,222,2214,13,8.1,1395,952,89,23.7%,22,5.9%,28,8.2%,19,69,18.4%,58
Dallas Cowboys,10,340,231,2499,23,8.0,1417,1267,100,25.8%,49,12.6%,41,12.1%,24,114,29.4%,68
Denver Broncos,11,369,214,2044,9,8.5,1260,1074,120,27.4%,32,7.3%,45,12.2%,49,126,28.8%,61
Detroit Lions,10,313,194,1921,18,9.9,1325,796,89,24.5%,27,7.4%,27,8.6%,31,85,23.4%,40
Green Bay Packers,10,349,230,1953,13,7.1,1177,871,73,18.8%,28,7.2%,35,10.0%,24,87,22.4%,58
Houston Texans,10,314,181,1710,10,8.8,1062,833,82,23.0%,19,5.3%,23,7.3%,25,67,18.8%,63
Jacksonville Jaguars,10,367,228,2369,21,8.7,1419,1020,97,24.0%,39,9.7%,31,8.4%,15,85,21.0%,56
Kansas City Chiefs,10,287,202,1968,9,6.9,937,1121,95,28.4%,18,5.4%,28,9.8%,22,68,20.3%,41
Miami Dolphins,11,317,231,2279,18,7.3,1203,1212,111,30.6%,38,10.5%,24,7.6%,21,83,22.9%,68
Minnesota Vikings,10,284,185,1905,14,7.1,1093,964,145,43.9%,41,12.4%,31,10.9%,26,98,29.7%,70
New Orleans Saints,10,284,194,1937,18,8.1,1080,996,81,25.2%,31,9.7%,20,7.0%,21,72,22.4%,52
New England Patriots,11,358,242,2375,19,7.4,1364,1159,90,22.4%,23,5.7%,27,7.5%,24,74,18.5%,43
New York Giants,11,381,244,2477,19,8.2,1567,1061,102,23.8%,25,5.8%,35,9.2%,23,83,19.3%,55
New York Jets,10,302,192,1988,18,7.0,938,1169,95,27.6%,19,5.5%,18,6.0%,18,55,16.0%,75
Tennessee Titans,10,306,216,2178,15,7.5,1311,1048,76,21.5%,15,4.2%,31,10.1%,26,72,20.3%,59
Philadelphia Eagles,10,341,193,2127,9,9.1,1192,1042,82,21.2%,20,5.2%,37,10.9%,21,78,20.2%,59
Pittsburgh Steelers,10,397,259,2617,16,6.8,1456,1343,136,30.7%,28,6.3%,42,10.6%,33,103,23.3%,93
Las Vegas Raiders,10,331,223,2195,16,7.7,1241,1011,75,20.4%,21,5.7%,25,7.6%,19,65,17.7%,75
Los Angeles Rams,10,364,237,2223,12,7.9,1475,928,72,17.8%,38,9.4%,34,9.3%,27,99,24.5%,41
Baltimore Ravens,10,362,229,2326,15,8.3,1414,1009,104,26.0%,24,6.0%,37,10.2%,15,76,19.0%,65
Los Angeles Chargers,11,326,196,1895,10,7.7,908,1150,70,18.3%,22,5.8%,26,8.0%,29,77,20.2%,64
Seattle Seahawks,10,371,233,2080,15,7.2,1120,1197,81,18.7%,46,10.6%,33,8.9%,32,111,25.6%,77
San Francisco 49ers,11,396,277,2740,21,8.2,1645,1122,77,18.0%,21,4.9%,23,5.8%,12,56,13.1%,58
Tampa Bay Buccaneers,10,340,223,2416,16,8.1,1270,1342,124,31.1%,23,5.8%,27,7.9%,26,76,19.0%,55
Washington Commanders,11,328,223,2744,22,7.9,1397,1457,89,24.1%,16,4.3%,28,8.5%,25,69,18.7%,84
