0,1,2,3,4,5,6,7,8,9,10,11,12
Rank,Team,Att,Yd,Avg,TD,Targt,Recpt,Yd,Avg,TD,FL,FPTS
32,RB vs Bengals,24.75,128.17,5.18,0.92,6.25,5.17,46.75,9.05,0.50,0.00,25.67
31,RB vs Giants,20.54,125.31,6.10,0.92,6.54,5.15,34.92,6.78,0.31,0.08,22.38
30,RB vs Bills,22.08,113.33,5.13,1.25,5.25,3.75,23.92,6.38,0.08,0.17,20.67
29,RB vs Jets,24.83,103.75,4.18,1.00,4.67,3.58,28.58,7.98,0.33,0.00,20.00
28,RB vs Titans,22.25,103.42,4.65,1.17,4.08,3.08,20.83,6.76,0.17,0.08,19.83
27,RB vs Commanders,24.25,108.92,4.49,0.83,5.17,3.92,39.17,10.00,0.25,0.00,19.67
26,RB vs Cardinals,21.67,95.83,4.42,0.92,5.25,4.17,30.17,7.24,0.33,0.17,19.17
25,RB vs Eagles,22.92,101.83,4.44,0.83,5.00,3.75,39.17,10.44,0.25,0.25,19.00
24,RB vs Falcons,22.83,101.42,4.44,0.67,6.08,4.67,33.58,7.20,0.33,0.08,18.83
23,RB vs Saints,26.00,110.75,4.26,0.75,3.92,3.25,23.00,7.08,0.17,0.17,18.33
22,RB vs Panthers,21.69,105.62,4.87,0.92,6.15,4.77,29.23,6.13,0.15,0.08,18.31
21,RB vs Raiders,23.58,95.25,4.04,1.08,5.00,4.08,28.25,6.92,0.08,0.00,18.17
20,RB vs Buccaneers,18.08,77.42,4.28,0.67,5.42,4.75,56.75,11.95,0.33,0.08,17.83
19,RB vs Cowboys,19.92,92.50,4.64,0.58,6.33,5.17,44.67,8.65,0.25,0.17,17.67
18,RB vs Ravens,21.17,93.33,4.41,0.75,6.33,4.83,39.08,8.09,0.17,0.17,17.17
17,RB vs Vikings,27.42,107.17,3.91,0.83,4.67,3.50,20.92,5.98,0.00,0.17,16.67
16,RB vs Bears,20.75,103.83,5.00,0.58,5.17,4.00,28.25,7.06,0.25,0.25,16.50
15,RB vs Dolphins,22.92,109.00,4.76,0.50,5.33,4.83,37.08,7.67,0.08,0.25,16.17
14,RB vs Chargers,18.92,87.67,4.63,0.92,5.42,4.08,28.50,6.98,0.00,0.08,15.50
13,RB vs 49ers,20.38,86.38,4.24,0.54,6.92,5.77,35.92,6.23,0.23,0.15,15.46
12,RB vs Colts,21.25,82.83,3.90,0.83,6.00,4.33,28.83,6.65,0.08,0.17,15.17
11,RB vs Texans,19.25,74.42,3.87,0.75,5.75,4.33,31.00,7.15,0.08,0.00,15.00
10,RB vs Browns,21.83,81.33,3.73,0.42,5.50,4.50,30.67,6.81,0.17,0.25,14.50
9,RB vs Steelers,23.25,100.25,4.31,0.42,5.42,4.25,29.25,6.88,0.08,0.42,14.17
8,RB vs Chiefs,17.58,76.00,4.32,0.50,5.08,4.08,30.08,7.37,0.17,0.00,14.00
7,RB vs Broncos,20.17,77.50,3.84,0.58,4.17,2.75,26.58,9.67,0.25,0.08,13.83
6,RB vs Packers,22.33,86.50,3.87,0.58,5.92,4.92,28.50,5.80,0.00,0.08,13.50
5,RB vs Rams,21.83,83.00,3.80,0.17,5.92,4.67,34.17,7.32,0.17,0.17,12.67
4,RB vs Jaguars,16.92,63.67,3.76,0.33,6.17,4.83,36.92,7.64,0.25,0.08,12.33
3,RB vs Lions,20.17,80.75,4.00,0.42,4.83,3.75,24.08,6.42,0.00,0.17,12.17
2,RB vs Seahawks,18.92,66.33,3.51,0.33,7.42,5.67,39.67,7.00,0.17,0.08,11.83
1,RB vs Patriots,18.00,66.15,3.68,0.23,6.38,5.31,33.92,6.39,0.08,0.00,10.85
