team,games,completions,pass_att,pass_yds,pass_tds,pass_int,2pp,sacks,rush_att,rush_yds,rush_tds,fantpt,dkpt,fdpt,fantpt_per_game,dkpt_per_game,fdpt_per_game,season
Dallas Cowboys,14,321,471,3793,31,6,2.0,29,73,314,7,337.52,354.1,343.1,24.1,25.3,24.5,2025
New York Giants,14,305,472,3394,24,5,3.0,31,77,357,4,285.76,296.5,291.0,20.4,21.2,20.8,2025
Cincinnati Bengals,14,293,441,3583,28,11,2.0,25,65,292,2,283.02,301.7,294.7,20.2,21.6,21.1,2025
Tampa Bay Buccaneers,14,320,479,3703,24,12,,33,64,326,6,280.72,311.7,292.7,20.1,22.3,20.9,2025
Washington Commanders,14,288,433,3638,28,7,1.0,31,53,271,1,278.72,297.6,285.6,19.9,21.3,20.4,2025
Detroit Lions,14,285,463,3465,27,12,1.0,39,72,232,3,273.2,296.1,285.6,19.5,21.2,20.4,2025
Tennessee Titans,14,294,431,3491,25,6,,34,70,300,3,272.04,283.6,277.6,19.4,20.3,19.8,2025
Pittsburgh Steelers,14,334,518,3649,23,12,2.0,40,56,232,5,263.16,291.2,275.2,18.8,20.8,19.7,2025
New York Jets,14,259,411,2958,25,0,,22,62,293,2,260.02,262.6,259.6,18.6,18.8,18.5,2025
Miami Dolphins,14,295,416,3047,22,7,,34,59,296,4,245.48,259.5,252.5,17.5,18.5,18.0,2025
San Francisco 49ers,14,330,480,3305,25,5,,16,52,197,1,241.9,258.9,246.9,17.3,18.5,17.6,2025
Chicago Bears,14,287,434,3235,27,21,3.0,29,46,317,3,239.1,272.1,260.1,17.1,19.4,18.6,2025
Jacksonville Jaguars,14,331,524,3310,23,18,2.0,28,54,262,4,238.98,267.6,256.6,17.1,19.1,18.3,2025
Las Vegas Raiders,14,296,427,3104,22,8,,26,72,214,4,232.96,247.7,241.7,16.6,17.7,17.3,2025
Atlanta Falcons,14,270,423,3042,23,11,3.0,48,62,306,2,232.38,250.3,243.3,16.6,17.9,17.4,2025
New England Patriots,14,298,447,3054,24,8,1.0,29,50,257,1,229.86,246.9,237.9,16.4,17.6,17.0,2025
Baltimore Ravens,14,318,509,3433,19,9,,22,59,203,3,229.02,243.7,238.2,16.4,17.4,17.0,2025
Arizona Cardinals,14,302,461,3343,23,9,,25,57,170,1,223.82,238.7,231.7,16.0,17.1,16.6,2025
Kansas City Chiefs,14,282,416,2972,15,8,1.0,29,69,261,5,214.98,232.0,223.0,15.4,16.6,15.9,2025
Indianapolis Colts,14,332,524,3699,18,12,3.0,36,45,157,0,213.66,239.7,225.7,15.3,17.1,16.1,2025
Los Angeles Rams,14,319,502,3321,21,13,,37,47,227,1,213.54,238.5,226.5,15.3,17.0,16.2,2025
Green Bay Packers,14,304,463,2920,21,7,2.0,33,39,149,2,211.7,227.7,218.7,15.1,16.3,15.6,2025
New Orleans Saints,14,251,384,2717,22,8,,29,67,274,1,208.08,220.1,216.1,14.9,15.7,15.4,2025
Philadelphia Eagles,14,260,463,2945,13,10,1.0,35,64,329,4,204.7,222.7,214.7,14.6,15.9,15.3,2025
Carolina Panthers,14,284,431,3162,17,12,,23,55,164,3,203.08,215.9,214.9,14.5,15.4,15.4,2025
Denver Broncos,14,287,491,3125,14,9,,58,54,211,2,194.1,210.1,203.1,13.9,15.0,14.5,2025
Buffalo Bills,14,233,384,2567,16,10,1.0,31,45,307,4,193.48,208.4,203.4,13.8,14.9,14.5,2025
Seattle Seahawks,14,313,500,2981,17,16,3.0,42,45,238,2,193.04,214.0,209.0,13.8,15.3,14.9,2025
Cleveland Browns,14,245,388,2654,21,10,,47,55,166,1,191.46,201.8,200.8,13.7,14.4,14.3,2025
Minnesota Vikings,14,248,394,2757,14,5,1.0,35,49,230,1,183.28,193.3,188.3,13.1,13.8,13.5,2025
Los Angeles Chargers,14,253,421,2666,12,17,1.0,40,58,246,4,169.24,187.2,186.2,12.1,13.4,13.3,2025
Houston Texans,14,260,447,2763,15,15,2.0,38,43,276,0,165.12,184.1,180.6,11.8,13.2,12.9,2025
Dallas Cowboys,17,349,511,4045,28,13,,52,93,553,10,355.4,382.1,368.1,20.9,22.5,21.7,2024
Carolina Panthers,17,358,527,4012,35,9,1.0,32,83,394,5,348.48,368.9,356.9,20.5,21.7,21.0,2024
Jacksonville Jaguars,17,388,579,4581,29,6,1.0,34,88,419,2,341.44,360.1,347.1,20.1,21.2,20.4,2024
Atlanta Falcons,17,401,574,3947,34,12,2.0,30,100,495,3,339.58,364.4,351.4,20.0,21.4,20.7,2024
Tampa Bay Buccaneers,17,417,628,4447,27,7,,46,81,354,6,337.28,356.3,344.3,19.8,21.0,20.3,2024
