Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1.0,Houston Texans,10.0,163.0,2581.0,565.0,4.6,16.0,6.0,161.0,181.0,314.0,1710.0,10.0,10.0,5.0,92.0,226.0,871.0,8.0,3.9,46.0,74.0,575.0,23.0,25.7,13.8,51.21
2.0,Los Angeles Rams,10.0,172.0,3230.0,651.0,5.0,18.0,8.0,199.0,237.0,364.0,2223.0,12.0,10.0,5.7,114.0,260.0,1007.0,4.0,3.9,67.0,83.0,648.0,18.0,33.3,17.6,28.21
3.0,Kansas City Chiefs,10.0,181.0,2968.0,548.0,5.4,9.0,3.0,170.0,202.0,287.0,1968.0,9.0,6.0,6.4,93.0,239.0,1000.0,10.0,4.2,62.0,58.0,578.0,15.0,35.9,9.8,-12.29
4.0,Denver Broncos,11.0,192.0,3018.0,686.0,4.4,9.0,3.0,189.0,214.0,369.0,2044.0,9.0,6.0,4.9,108.0,268.0,974.0,8.0,3.6,49.0,91.0,656.0,32.0,32.6,6.2,38.3
5.0,Seattle Seahawks,10.0,193.0,3015.0,645.0,4.7,13.0,4.0,188.0,233.0,371.0,2080.0,15.0,9.0,5.2,116.0,242.0,935.0,6.0,3.9,50.0,72.0,584.0,22.0,30.1,10.6,16.05
6.0,Green Bay Packers,10.0,196.0,2921.0,626.0,4.7,8.0,4.0,185.0,230.0,349.0,1953.0,13.0,4.0,5.2,106.0,253.0,968.0,8.0,3.8,57.0,64.0,569.0,22.0,38.9,8.4,-24.6
7.0,Philadelphia Eagles,10.0,201.0,3268.0,627.0,5.2,10.0,4.0,192.0,193.0,341.0,2127.0,9.0,6.0,5.9,95.0,265.0,1141.0,11.0,4.3,75.0,56.0,496.0,22.0,38.8,9.7,-13.68
8.0,Indianapolis Colts,10.0,206.0,3276.0,632.0,5.2,14.0,4.0,211.0,241.0,376.0,2353.0,16.0,10.0,5.8,127.0,227.0,923.0,8.0,4.1,62.0,59.0,509.0,22.0,35.6,13.9,-43.75
9.0,New England Patriots,11.0,206.0,3307.0,620.0,5.3,12.0,5.0,201.0,242.0,358.0,2375.0,19.0,7.0,6.2,124.0,238.0,932.0,4.0,3.9,58.0,77.0,575.0,19.0,33.3,10.8,-6.15
10.0,Detroit Lions,10.0,216.0,2918.0,595.0,4.9,12.0,4.0,182.0,194.0,313.0,1921.0,18.0,8.0,5.6,103.0,251.0,997.0,8.0,4.0,55.0,57.0,404.0,24.0,34.2,10.5,-1.61
11.0,Jacksonville Jaguars,10.0,226.0,3236.0,601.0,5.4,18.0,5.0,200.0,228.0,367.0,2369.0,21.0,13.0,6.2,127.0,219.0,867.0,6.0,4.0,48.0,67.0,600.0,25.0,35.5,15.9,-16.77
12.0,Buffalo Bills,10.0,229.0,3227.0,580.0,5.6,13.0,6.0,189.0,168.0,272.0,1697.0,10.0,7.0,5.7,90.0,282.0,1530.0,17.0,5.4,83.0,50.0,422.0,16.0,39.3,12.1,-43.57
13.0,Minnesota Vikings,10.0,232.0,3175.0,618.0,5.1,9.0,6.0,186.0,185.0,284.0,1905.0,14.0,3.0,6.1,84.0,308.0,1270.0,8.0,4.1,86.0,73.0,602.0,16.0,38.1,8.0,-9.66
14.0,Pittsburgh Steelers,10.0,232.0,3681.0,685.0,5.4,18.0,9.0,223.0,259.0,397.0,2617.0,16.0,9.0,6.1,125.0,255.0,1064.0,7.0,4.2,79.0,60.0,521.0,19.0,41.9,15.2,-35.29
15.0,Cleveland Browns,10.0,234.0,2735.0,567.0,4.8,14.0,5.0,158.0,169.0,260.0,1670.0,16.0,9.0,5.7,86.0,275.0,1065.0,5.0,3.9,55.0,79.0,524.0,17.0,36.0,10.8,37.23
16.0,Los Angeles Chargers,11.0,238.0,3147.0,619.0,5.1,12.0,2.0,190.0,196.0,326.0,1895.0,10.0,10.0,5.3,94.0,264.0,1252.0,14.0,4.7,76.0,67.0,546.0,20.0,39.1,10.0,-23.05
17.0,Atlanta Falcons,10.0,239.0,3265.0,610.0,5.4,13.0,5.0,192.0,182.0,283.0,1880.0,17.0,8.0,5.9,104.0,293.0,1385.0,8.0,4.7,78.0,57.0,478.0,10.0,43.7,10.7,-43.21
18.0,Carolina Panthers,11.0,249.0,3585.0,639.0,5.6,11.0,4.0,193.0,219.0,339.0,2341.0,13.0,7.0,6.6,114.0,284.0,1244.0,13.0,4.4,69.0,79.0,599.0,10.0,41.5,8.5,-62.09
19.0,New Orleans Saints,10.0,250.0,3175.0,618.0,5.1,12.0,7.0,206.0,194.0,284.0,1937.0,18.0,5.0,6.4,107.0,313.0,1238.0,9.0,4.0,78.0,70.0,533.0,21.0,41.6,11.9,-43.03
20.0,Tampa Bay Buccaneers,10.0,250.0,3420.0,607.0,5.6,16.0,6.0,185.0,223.0,340.0,2416.0,16.0,10.0,6.6,118.0,241.0,1004.0,12.0,4.2,48.0,71.0,569.0,19.0,38.5,13.8,-24.71
21.0,Baltimore Ravens,10.0,251.0,3541.0,642.0,5.5,11.0,5.0,200.0,229.0,362.0,2326.0,15.0,6.0,6.2,117.0,265.0,1215.0,11.0,4.6,68.0,68.0,521.0,15.0,44.4,9.3,-39.54
22.0,San Francisco 49ers,11.0,252.0,3882.0,687.0,5.7,10.0,7.0,231.0,277.0,396.0,2740.0,21.0,3.0,6.7,135.0,279.0,1142.0,8.0,4.1,74.0,74.0,513.0,22.0,39.3,8.9,-88.31
23.0,Las Vegas Raiders,10.0,253.0,3268.0,633.0,5.2,11.0,5.0,195.0,223.0,331.0,2195.0,16.0,6.0,6.3,109.0,283.0,1073.0,12.0,3.8,72.0,76.0,574.0,14.0,42.6,10.9,-48.24
24.0,Arizona Cardinals,10.0,256.0,3336.0,624.0,5.3,13.0,7.0,218.0,222.0,343.0,2214.0,13.0,6.0,6.1,124.0,262.0,1122.0,11.0,4.3,71.0,62.0,574.0,23.0,43.8,11.4,-44.03
25.0,Chicago Bears,10.0,264.0,3646.0,587.0,6.2,22.0,7.0,203.0,209.0,309.0,2313.0,21.0,15.0,7.0,111.0,257.0,1333.0,9.0,5.2,70.0,55.0,387.0,22.0,40.0,20.0,-58.29
26.0,New York Jets,10.0,268.0,3297.0,621.0,5.3,1.0,1.0,203.0,192.0,302.0,1988.0,18.0,0.0,6.2,113.0,301.0,1309.0,10.0,4.3,68.0,67.0,545.0,22.0,46.3,0.9,-72.11
27.0,Miami Dolphins,11.0,269.0,3848.0,655.0,5.9,12.0,9.0,223.0,231.0,317.0,2279.0,18.0,3.0,6.7,117.0,317.0,1569.0,10.0,4.9,79.0,77.0,614.0,27.0,44.9,9.3,-84.76
28.0,Tennessee Titans,10.0,273.0,3525.0,618.0,5.7,10.0,5.0,200.0,216.0,306.0,2178.0,15.0,5.0,6.6,109.0,286.0,1347.0,15.0,4.7,72.0,50.0,362.0,19.0,43.5,7.4,-77.91
29.0,Dallas Cowboys,10.0,293.0,3813.0,644.0,5.9,8.0,3.0,228.0,231.0,340.0,2499.0,23.0,5.0,6.9,122.0,280.0,1314.0,11.0,4.7,89.0,78.0,692.0,17.0,48.1,7.4,-107.95
30.0,Washington Commanders,11.0,296.0,4257.0,674.0,6.3,6.0,1.0,234.0,223.0,328.0,2744.0,22.0,5.0,7.8,137.0,321.0,1513.0,10.0,4.7,80.0,77.0,638.0,17.0,48.6,5.4,-123.43
31.0,New York Giants,11.0,300.0,4126.0,702.0,5.9,6.0,2.0,249.0,244.0,381.0,2477.0,19.0,4.0,6.1,134.0,298.0,1649.0,15.0,5.5,86.0,88.0,740.0,29.0,44.1,5.1,-128.78
32.0,Cincinnati Bengals,10.0,334.0,4182.0,660.0,6.3,9.0,1.0,237.0,227.0,338.0,2573.0,25.0,8.0,7.3,136.0,308.0,1609.0,12.0,5.2,85.0,72.0,584.0,16.0,49.5,8.6,-156.03
