team,position,full_name,gsis_id,week,touches,snap_share,rush_share,target_share,weighted_opp_share,total_touchdowns,delta_touches,touches_3wk_avg,touches_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,rush_ypc,rush_yoe_per_att,rush_yoe_per_game,stacked_box_rate,catch_rate,rec_yards_per_target,avg_yac_above_expectation,team_implied_points,is_favored,abs_spread,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed,years_exp_filled,is_rookie,is_undrafted,draft_number_filled
SF,RB,Kyle Juszczyk,00-0029892,1,2.0,0.0,0.0,0.05714285714285714,6.0,0.0,0.0,2.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,13.75,0,2.5,4.24,20.38,5.77,0.540.23,15.46,12,0,0,130.0
SF,RB,Kyle Juszczyk,00-0029892,4,3.0,0.0,0.0,0.07894736842105263,9.0,0.0,2.0,1.6666666666666667,-0.08333333333333326,0.0,0.0,4.933333333333334,-0.06666666666666643,0.3333333333333333,0.08333333333333331,0.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,21.75,0,3.5,3.74,17.31,4.62,0.380.23,12.38,12,0,0,130.0
SF,RB,Kyle Juszczyk,00-0029892,12,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.3333333333333333,-0.23809523809523814,0.0,0.0,2.4666666666666663,0.36666666666666625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,0,7.5,4.87,21.69,4.77,0.920.15,18.31,12,0,0,130.0
SF,RB,Kyle Juszczyk,00-0029892,3,1.0,0.0,0.0,0.024390243902439025,3.0,1.0,0.0,1.3333333333333333,0.0,0.0,0.0,4.6000000000000005,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.75,0,1.5,4.79,22.54,4.08,1.080.31,20.00,12,0,0,130.0
SF,RB,Kyle Juszczyk,00-0029892,9,2.0,0.0,0.0,0.08333333333333333,6.0,0.0,0.0,2.0,-0.2857142857142856,0.0,0.0,1.8,-1.8571428571428574,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.5,6.0,0.0,27.75,0,2.5,4.24,20.38,5.77,0.540.23,15.46,12,0,0,130.0
SF,RB,Kyle Juszczyk,00-0029892,11,2.0,0.0,0.0,0.07692307692307693,6.0,0.0,0.0,2.0,-0.2857142857142856,0.0,0.0,3.1999999999999997,0.3857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,29.75,0,3.5,4.24,20.38,5.77,0.540.23,15.46,12,0,0,130.0
SF,RB,Kyle Juszczyk,00-0029892,5,5.0,0.0,0.030303030303030304,0.08163265306122448,13.0,0.0,2.0,3.0,0.6000000000000001,0.0,0.0,6.1000000000000005,1.1000000000000005,0.3333333333333333,0.1333333333333333,-1.0,0.0,0.0,0.0,0.75,5.25,0.0,28.75,1,8.5,4.24,20.38,5.77,0.540.23,15.46,12,0,0,130.0
SF,RB,Kyle Juszczyk,00-0029892,13,2.0,0.0,0.0,0.06666666666666667,6.0,0.0,2.0,1.3333333333333333,-0.38095238095238093,0.0,0.0,3.1,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.5,0.0,14.25,0,5.5,4.24,20.38,5.77,0.540.23,15.46,12,0,0,130.0
SF,RB,Kyle Juszczyk,00-0029892,6,1.0,0.0,0.0,0.02564102564102564,3.0,0.0,-4.0,3.0,0.8333333333333335,0.0,0.0,4.366666666666666,-0.11666666666666714,0.0,-0.16666666666666666,0.0,0.0,0.0,0.0,1.0,9.0,0.0,26.25,1,3.5,4.24,20.38,5.77,0.540.23,15.46,12,0,0,130.0
SF,RB,Kyle Juszczyk,00-0029892,2,1.0,0.0,0.0,0.02564102564102564,3.0,0.0,-1.0,1.5,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,22.0,0,3.0,4.24,20.38,5.77,0.540.23,15.46,12,0,0,130.0
